,Episode,Timestep,Policy_Loss,Critic_Loss,RM_Score,Ref_KL
213,53,1712,-0.006353416720230598,0.007796247210353613,-1.8214963674545288,-0.04305227845907211
214,53,1720,-0.0036852894024832494,0.004898862168192864,-2.51568865776062,-0.042543698102235794
215,53,1728,-0.006025391451476026,0.006285890098661184,-2.6075873374938965,-0.04055780544877052
216,54,1736,-0.005366121555198333,0.008297648280858994,-2.7152187824249268,-0.04653555527329445
217,54,1744,-0.0058583432291129615,0.0037839041091501714,-2.365072727203369,-0.03295433893799782
218,54,1752,-0.005203058652341497,0.0061739816330373285,-2.798360586166382,-0.041085924953222275
219,54,1760,-0.008665140584707843,0.006204117368906736,-1.5290884971618652,-0.054338086396455765
220,55,1768,-0.0039695275431768096,0.008662424609065056,-2.338796615600586,-0.04646071791648865
221,55,1776,-0.006702121396574512,0.005267827957868576,-1.6784781217575073,-0.0377088338136673
222,55,1784,-0.004698836079001012,0.006681116297841072,-1.8948904275894165,-0.04120180755853653
223,55,1792,-0.004094200264182746,0.0067428678274154665,-2.210566520690918,-0.04455022141337395
224,56,1800,-0.0051734666925312926,0.009067913144826889,-2.1054418087005615,-0.04014028608798981
225,56,1808,-0.003131550963826157,0.003853297373279929,-1.926656723022461,-0.04072101041674614
226,56,1816,-0.008557992650838741,0.008599873445928097,-3.155270576477051,-0.04834257438778877
227,56,1824,-0.004244693519467546,0.01014812644571066,-2.4021995067596436,-0.04149080440402031
228,57,1832,-0.0011946353779194395,0.004797772597521543,-1.8545849323272705,-0.03333987668156624
229,57,1840,-0.0041159421266229405,0.00968841128051281,-2.4460721015930176,-0.0507664829492569
230,57,1848,-0.0020846574854999746,0.004133774898946285,-1.018267273902893,-0.03832472860813141
231,57,1856,-0.005311207366685266,0.00792436171323061,-2.4992806911468506,-0.04395713284611702
232,58,1864,-0.0062919050974699076,0.006431489437818527,-2.4063665866851807,-0.05724572762846947
233,58,1872,-0.005875993993868178,0.004273846093565225,-1.8155527114868164,-0.04420863091945648
234,58,1880,-0.005025774452906262,0.004736141487956047,-2.307097911834717,-0.05800798907876015
235,58,1888,-0.006870310897056697,0.00511842705309391,-1.926666498184204,-0.04337170720100403
236,59,1896,-0.0036080764676398756,0.006884649023413658,-1.1078643798828125,-0.04497777298092842
237,59,1904,-0.008613338245777414,0.009166684560477733,-2.7625279426574707,-0.055167362093925476
238,59,1912,-0.005679529391454707,0.005004611983895302,-1.65840482711792,-0.03762556239962578
239,59,1920,-0.009538558015265153,0.006939876452088356,-2.325418472290039,-0.039411842823028564
240,60,1928,-0.032972159190831005,0.7665554642677307,-3.0925920009613037,-0.23404665291309357
241,60,1936,-0.009067510468389628,0.014142089150846004,-2.503927707672119,-0.05577964708209038
242,60,1944,-0.004627755744223805,0.013944790884852409,-1.9743295907974243,-0.056313421577215195
243,60,1952,-0.007391709743842512,0.009215544536709785,-2.269434690475464,-0.046833716332912445
244,61,1960,0.0028289102316193747,0.01329775396734476,-1.7035267353057861,-0.050613366067409515
245,61,1968,-0.002716709438300313,0.010996686853468418,-2.1242001056671143,-0.04737040773034096
246,61,1976,-0.0008785745181754123,0.00829602312296629,-1.9363770484924316,-0.05271584540605545
247,61,1984,-0.0003630290829619298,0.0061820044182240965,-1.5284571647644043,-0.0423102043569088
248,62,1992,-0.00045179853848367204,0.005433518253266811,-2.3363020420074463,-0.04793942719697952
249,62,2000,-0.00040664604997004973,0.005984508618712425,-2.0403945446014404,-0.05484061315655708
250,62,2008,-0.00018505473137224725,0.004199265502393246,-1.7221152782440186,-0.03776245564222336
251,62,2016,-0.0009624404319758639,0.01154901683330536,-3.311777114868164,-0.04041541367769241
252,63,2024,-0.0015999932365730273,0.0036989058367908,-1.839368224143982,-0.04177384078502655
253,63,2032,-0.0002687448997960473,0.0057716693729162214,-2.0092222690582275,-0.03707036375999451
254,63,2040,-0.0015255954967528852,0.00491435993462801,-1.7180851697921753,-0.05379015579819679
255,63,2048,-0.0008416637239747615,0.0064134571701288225,-1.3747435808181763,-0.03761059790849686
256,64,2056,-0.0008982842249452005,0.004154339153319597,-2.4494569301605225,-0.04372759163379669
257,64,2064,-6.919283650379527e-05,0.007438437175005674,-1.0981957912445068,-0.05105914548039436
258,64,2072,-3.6946883042787704e-05,0.006758347060531378,-2.398477077484131,-0.04304039850831032
259,64,2080,-0.00037357019239152577,0.004487707838416099,-1.1863892078399658,-0.04805546626448631
260,65,2088,-0.00046396445872574075,0.005576915480196476,-2.075925588607788,-0.028693774715065956
261,65,2096,-0.0008668226800693901,0.004548273235559464,-2.373399019241333,-0.052464257925748825
262,65,2104,-0.0008521660760379745,0.004174184054136276,-2.3449547290802,-0.034562453627586365
263,65,2112,-0.0015655402901813887,0.008242378197610378,-1.6253055334091187,-0.04488871991634369
264,66,2120,-0.0023757632106025995,0.003999328380450607,-1.9490816593170166,-0.052337199449539185
265,66,2128,-0.0021607433096278326,0.003855168214067817,-2.2387847900390625,-0.04453403130173683
266,66,2136,-0.0014989368404712878,0.0029914157930761576,-1.9715946912765503,-0.041980355978012085
267,66,2144,-0.0025048120104145255,0.0033856715075671674,-2.1815590858459473,-0.03808588907122612
268,67,2152,-0.001156778262611624,0.003110982431098819,-1.6436710357666016,-0.04295143857598305
269,67,2160,-0.002218409912779862,0.0028776900842785837,-2.116704225540161,-0.039582714438438416
